region,offence,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Western Australia,Abduction/harassment,411,435,417,313,311,271,278,270,254,125,109,115,129,154
Western Australia,Acts intended to cause injury,1819,1970,2158,1526,1163,983,1015,1053,1204,1232,1152,1198,1241,1263
Western Australia,Dangerous/negligent acts,10,26,12,14,18,10,15,23,11,17,18,23,39,42
Western Australia,Fraud/deception,223,241,258,127,123,159,145,127,123,133,82,87,79,93
Western Australia,Homicide and related offences,3,6,10,6,9,8,5,8,0,0,0,5,3,5
Western Australia,Illicit drug offences,690,739,726,530,607,771,802,824,834,827,689,689,645,583
Western Australia,Miscellaneous offences,9,5,16,9,7,27,55,19,35,46,12,49,55,62
Western Australia,Offences against justice,125,165,109,113,93,89,87,105,87,130,122,104,98,107
Western Australia,Property damage and environmental pollution,1181,1232,1308,838,771,600,609,574,567,549,497,469,501,492
Western Australia,Public order offences,1000,1048,1082,757,660,554,492,465,574,501,465,474,462,453
Western Australia,Robbery/extortion,254,315,343,256,209,189,149,137,154,161,245,284,191,298
Western Australia,Sexual assault and related offences,147,196,196,150,151,173,177,189,168,237,211,227,222,261
Western Australia,Theft,2701,3136,2856,2200,1807,1280,1292,1463,1349,1234,1167,988,994,1096
Western Australia,Unlawful entry with intent,1270,1550,1743,1309,1150,1230,1138,1100,1112,1205,1053,947,881,975
Western Australia,Weapons/explosives,208,241,243,145,123,108,97,121,121,168,160,142,144,149
Western Australia,All offenders,43812,45355,40572,37169,36625,35954,38578,39900,41678,41310,39415,37597,35468,34579
Western Australia,Youth offenders,10084,11418,11513,8302,7214,6469,6357,6466,6593,6577,5989,5799,5678,6037
Australia,Theft,20885,22868,22397,20901,17032,11101,8970,9022,8722,8450,7501,6657,5212,5410
Australia,Acts intended to cause injury,11765,12257,12020,10371,9340,8671,8352,8488,8773,9429,9437,9447,9856,10126
Australia,Abduction/harassment,637,734,672,588,533,534,557,538,555,393,388,426,427,460
Australia,Public order offences,10733,10435,9592,7519,6637,6027,5305,5513,5285,4873,4282,4007,3817,3441
Australia,Property damage and environmental pollution,7109,6693,6032,5208,4736,3940,3694,3607,3376,3227,2882,2717,2766,2915
Australia,Unlawful entry with intent,7197,7488,7089,6002,5233,4884,4449,4543,4554,4455,4040,3765,3377,3709
Australia,Illicit drug offences,3916,4470,4632,4569,5072,5551,6023,5811,5757,5467,5224,5121,4088,3503
Australia,Miscellaneous offences,1430,1978,2642,2944,4207,1410,1343,1267,1026,994,878,1015,1479,3777
Australia,Offences against justice,1500,1297,1160,966,931,975,810,836,608,690,653,575,560,518
Australia,Robbery/extortion,1444,1635,1595,1293,1149,1046,947,906,1031,1253,1521,1780,1425,1541
Australia,Sexual assault and related offences,1103,1158,1005,1032,1193,1531,1713,1671,1487,1488,1356,1399,1460,1399
Australia,Weapons/explosives,1482,1542,1361,1153,1055,893,888,929,914,1198,1182,1264,1108,1189
Australia,Fraud/deception,976,960,798,628,728,980,1077,929,858,939,917,825,739,591
Australia,Dangerous/negligent acts,341,396,348,315,327,336,344,368,401,256,227,150,217,257
Australia,Homicide and related offences,73,56,58,36,38,28,23,23,24,29,32,49,42,64
Australia,Total,71421,74924,72062,64152,58688,54410,54421,54775,54064,53070,49181,46949,44496,45210
Australia,All offenders,375585,393267,387831,382097,397663,409892,413774,418349,413895,406760,394627,374638,359974,369488
Australia,Youth offenders,71423,74925,72057,64156,58690,54409,54414,54777,54064,53075,49187,46948,44503,45217
